4:0,1,2,3
5:0,1,3,4
6:0,1,4,5
7:1,3,4,6
8:1,3,4,6
9:0,3,4,5
10:3,4,7,8
11:4,5,8,9
12:3,4,6,10
13:3,8,9,12
14:0,7,12,13
15:1,5,8,11
16:0,10,13,14
17:1,4,5,6
18:3,5,8,12
19:4,7,13,16
20:1,3,8,12
21:10,17,18,19
22:6,7,8,21
23:10,13,14,19
24:8,10,12,19
25:8,11,14,17
26:3,6,9,18
27:3,9,11,24
28:0,4,5,12
29:3,5,8,14
30:3,9,14,27
31:10,11,17,20
32:3,4,6,25
33:7,9,18,23
34:1,5,16,25
35:6,8,14,31
36:3,13,19,30
37:2,5,15,20
38:0,8,32,34
39:3,6,8,29
40:4,11,17,25
41:6,11,14,27
42:3,8,18,25
43:3,5,8,39
44:1,5,29,38
45:17,31,39,44
46:2,3,14,27
47:3,5,12,18
48:5,19,34,46
49:13,29,30,32
50:4,5,6,27
51:3,8,11,41
52:2,5,25,28
53:3,18,20,22
54:5,10,38,42
55:8,9,14,25
56:3,8,28,35
57:17,25,40,44
58:25,28,39,48
59:5,19,35,52
60:3,12,43,59
61:3,11,19,58
62:3,5,15,35
63:8,9,12,30
64:3,8,11,12
65:6,11,15,40
66:3,8,36,50
67:3,34,35,41
68:2,3,13,62
69:5,8,12,55
70:5,12,29,59
71:3,12,55,66
72:7,11,51,62
73:3,14,26,27
74:8,10,11,44
75:12,18,23,30
76:6,13,26,46
77:8,33,65,70
78:6,8,49,59
79:46,57,61,75
80:5,25,50,59
81:8,14,39,48
82:5,6,12,26
83:6,8,12,67
84:8,29,48,75
85:3,4,12,30
86:1,58,66,83
87:0,11,14,44
88:18,25,47,71
89:13,40,65,70
90:14,29,30,46
91:3,5,24,70
92:5,8,14,57
93:4,39,53,57
94:8,29,51,77
95:5,6,19,87
96:6,11,53,57
97:25,49,67,79
98:4,8,9,15
99:11,16,30,87
